,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,5,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[5, 25, 12, 4, 4, 4]",1806,4.49,10.058
J_det,5,"[5, 5, 3, 3]","[5, 9, 3]",340,0.66,10.296
R,5,"[5, 5, 3, 3, 3, 3]","[5, 25, 25, 9, 3]",3290,0.62,10.378
dR,5,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,10.378
J_detRT,5,"[(5, 1), (5, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[5, 25, 27, 9, 3]",3494,0.58,10.388
JdR,5,"[5, 5, 3, 3, 3, 3, 2]","[5, 25, 48, 16, 6, 2]",6882,0.59,10.41
Intg_int,5,"[(7, 7), (7, 7)]",[15],1470,1.63,10.824
Intg_str,5,"[(7, 7), (7, 7), (2, 1)]","[29, 2]",4267,1.13,10.824
H,5,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[3, 3, 3, 3, 3, 73]",14635,3527.92,10.824
S,5,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[3, 3, 2, 1, 1, 15]",2588,35750748.98,10.826
F,5,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 1), (7, 7), (7, 7)]","[1, 1, 1, 1, 1, 15]",1675,55237575.15,10.827
Jx_det_in,5,"[2, 5, 3]","[2, 3]",43,0.7,10.962
Jy_det_in,5,"[2, 5, 3]","[1, 1]",10,3.0,10.962
Rx_in,5,"[2, 5, 3, 3, 3]","[2, 8, 6, 2]",270,1.0,10.962
Ry_in,5,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,10.962
Ox_in,5,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,10.962
Oy_in,5,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,10.962
ORx_in,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,10.985
ORy_in,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,10.985
ORJx_det_in,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,11.009
ORJy_det_in,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,11.009
Intg_bound_in,5,"[(12, 12), (4, 4), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 12, 23, 18, 3]",9657,36661.68,11.308
H_bound_in,5,"[(4, 4), (8, 1), (8, 1), (7, 7), (12, 12), (7, 7), (7, 7)]","[4, 17, 18, 18, 18, 3]",68381,253696.95,11.335
B_in,5,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 12), (7, 7), (7, 7)]","[4, 17, 18, 18, 18, 3]",89325,12429613.89,11.335
Jx_det_out,5,"[2, 5, 3]","[2, 3]",43,0.7,11.349
Jy_det_out,5,"[2, 5, 3]","[1, 1]",10,3.0,11.349
Rx_out,5,"[2, 5, 3, 3, 3]","[2, 8, 6, 2]",270,1.0,11.37
Ry_out,5,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,11.37
Ox_out,5,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,11.466
Oy_out,5,"[4, 8, 8, 2, 5, 3]","[4, 16, 2, 1, 1]",796,9.65,11.467
ORx_out,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,11.49
ORy_out,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,11.49
ORJx_det_out,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 31, 16, 30, 18, 6, 2]",9002,7.68,11.514
ORJy_det_out,5,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 16, 2, 2, 6, 6, 3]",1023,67.57,11.514
Intg_bound_out,5,"[(4, 1), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 17, 18, 3]",5801,105.96,11.812
H_bound_out,5,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 17, 18, 18, 18, 3]",11957,4318.07,11.818
B_out,5,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 17, 18, 18, 18, 3]",11957,4318.07,11.818
J,6,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[5, 12, 8, 4, 4, 4]",821,9.87,12.063
J_det,6,"[5, 5, 3, 3]","[3, 6, 3]",168,1.34,12.301
